,x,y
0,1633283141.6761599,130.2276
1,1633283141.8349507,130.2161
2,1633283142.0180686,129.8935
3,1633283142.164883,129.9517
4,1633283142.359054,130.1924
5,1633283142.5284336,130.3349
6,1633283142.6921523,130.2595
7,1633283142.8659148,129.8575
8,1633283143.0254202,129.9516
9,1633283143.232296,130.2274
10,1633283143.3896735,130.3774
11,1633283143.5498264,130.078
12,1633283143.7106564,129.962
13,1633283143.8539999,130.0515
14,1633283144.0503585,130.2664
15,1633283144.1989589,130.4113
16,1633283144.355431,129.9024
17,1633283144.505271,129.8357
18,1633283144.652009,129.9254
19,1633283144.8153653,130.0305
20,1633283144.996346,130.1472
21,1633283145.1591067,129.7724
22,1633283145.318114,129.8678
23,1633283145.481722,129.9175
24,1633283145.6235738,130.0851
25,1633283145.7744179,129.9337
26,1633283145.9312596,129.7577
27,1633283146.0839283,129.7378
28,1633283146.239757,130.0822
29,1633283146.3826373,130.2309
30,1633283146.543012,130.4509
31,1633283146.6955416,130.0854
32,1633283146.8600693,129.9808
33,1633283147.0352116,130.3549
34,1633283147.193052,130.4295
35,1633283147.356142,130.4603
36,1633283147.5180001,129.9613
37,1633283147.654075,130.0926
38,1633283147.7915976,130.1638
39,1633283147.9326074,130.1263
40,1633283148.0910177,130.401
41,1633283148.2344024,129.9994
42,1633283148.368352,129.7725
43,1633283148.5051937,129.5955
44,1633283148.6433518,129.6297
45,1633283148.7957342,129.8142
46,1633283148.93547,129.8106
47,1633283149.0859027,129.4715
48,1633283149.290743,129.5301
49,1633283149.4321966,129.5489
